Campaign,Ad Group,Keyword,Criterion Type
STC — Search — [CITY],Tree Removal,tree removal,Phrase
STC — Search — [CITY],Tree Removal,tree removal near me,Exact
STC — Search — [CITY],Tree Removal,tree removal [CITY],Exact
STC — Search — [CITY],Tree Removal,tree removal service,Phrase
STC — Search — [CITY],Tree Removal,tree removal cost,Phrase
STC — Search — [CITY],Tree Removal,tree cutting service,Phrase
STC — Search — [CITY],Tree Removal,large tree removal,Phrase
STC — Search — [CITY],Tree Removal,tree removal companies near me,Exact
STC — Search — [CITY],Tree Trimming & Pruning,tree trimming,Phrase
STC — Search — [CITY],Tree Trimming & Pruning,tree trimming near me,Exact
STC — Search — [CITY],Tree Trimming & Pruning,tree trimming service,Phrase
STC — Search — [CITY],Tree Trimming & Pruning,tree pruning,Phrase
STC — Search — [CITY],Tree Trimming & Pruning,tree pruning service near me,Exact
STC — Search — [CITY],Tree Trimming & Pruning,tree branch removal,Phrase
STC — Search — [CITY],Tree Trimming & Pruning,overgrown tree trimming,Phrase
STC — Search — [CITY],Emergency & Storm,emergency tree removal,Phrase
STC — Search — [CITY],Emergency & Storm,emergency tree service,Phrase
STC — Search — [CITY],Emergency & Storm,24 hour tree removal,Phrase
STC — Search — [CITY],Emergency & Storm,storm damage tree removal,Phrase
STC — Search — [CITY],Emergency & Storm,fallen tree removal,Phrase
STC — Search — [CITY],Emergency & Storm,tree fell on house,Phrase
STC — Search — [CITY],Emergency & Storm,dangerous tree removal,Phrase
STC — Search — [CITY],Stump Grinding,stump grinding,Phrase
STC — Search — [CITY],Stump Grinding,stump grinding near me,Exact
STC — Search — [CITY],Stump Grinding,stump removal,Phrase
STC — Search — [CITY],Stump Grinding,stump removal cost,Phrase
STC — Search — [CITY],Stump Grinding,tree stump removal service,Phrase
STC — Search — [CITY],Arborist / Tree Health,arborist near me,Exact
STC — Search — [CITY],Arborist / Tree Health,certified arborist,Phrase
STC — Search — [CITY],Arborist / Tree Health,arborist [CITY],Exact
STC — Search — [CITY],Arborist / Tree Health,tree doctor near me,Exact
STC — Search — [CITY],Arborist / Tree Health,sick tree treatment,Phrase
STC — Search — [CITY],Arborist / Tree Health,dying tree help,Phrase
STC — Search — [CITY],Arborist / Tree Health,tree health inspection,Phrase
