Campaign,Keyword,Criterion Type
STC — Search — [CITY],jobs,Negative Phrase
STC — Search — [CITY],hiring,Negative Phrase
STC — Search — [CITY],salary,Negative Phrase
STC — Search — [CITY],careers,Negative Phrase
STC — Search — [CITY],resume,Negative Phrase
STC — Search — [CITY],training,Negative Phrase
STC — Search — [CITY],certification,Negative Phrase
STC — Search — [CITY],how to become,Negative Phrase
STC — Search — [CITY],diy,Negative Phrase
STC — Search — [CITY],how to cut down a tree,Negative Phrase
STC — Search — [CITY],chainsaw,Negative Phrase
STC — Search — [CITY],rental,Negative Phrase
STC — Search — [CITY],rent,Negative Phrase
STC — Search — [CITY],equipment for sale,Negative Phrase
STC — Search — [CITY],free wood,Negative Phrase
STC — Search — [CITY],free firewood,Negative Phrase
STC — Search — [CITY],free mulch,Negative Phrase
STC — Search — [CITY],christmas tree,Negative Phrase
STC — Search — [CITY],tree farm,Negative Phrase
STC — Search — [CITY],nursery,Negative Phrase
STC — Search — [CITY],planting,Negative Phrase
STC — Search — [CITY],bonsai,Negative Phrase
STC — Search — [CITY],family tree,Negative Phrase
STC — Search — [CITY],palm tree for sale,Negative Phrase
STC — Search — [CITY],grants,Negative Phrase
STC — Search — [CITY],volunteer,Negative Phrase
STC — Search — [CITY],city of,Negative Phrase
STC — Search — [CITY],permit,Negative Phrase
